time,true_down,pred_down,true_up,pred_up,true_rnti,pred_rnti,true_rb_down,pred_rb_down,true_rb_up,pred_rb_up
2018-04-03 12:00:00,163097400.0,153230900.0,1647960.0,1957203.0,9687,8528.0,0.0273465,0.026840191,0.0004693333333333,0.00083255797
2018-04-03 12:02:00,166808800.0,153196880.0,1461912.0,1624466.0,9743,8638.0,0.0286078333333333,0.026512152,0.0005039166666666,0.0005909289
2018-04-03 12:04:00,127870088.0,158264940.0,1150496.0,1746200.0,7424,8861.0,0.0217655833333333,0.027695576,0.0004141666666666,0.0007769343
2018-04-03 12:06:00,107900320.0,141648780.0,1072880.0,1201362.0,6396,8034.0,0.0183834166666666,0.023563808,0.0002937499999999,0.00036002087
2018-04-03 12:08:00,142463032.0,126330120.0,1693528.0,947424.0,8390,7211.0,0.0244113333333333,0.02029451,0.00048175,0.0001761931
2018-04-03 12:10:00,147789008.0,136594880.0,1035216.0,1746017.0,8694,7614.0,0.0251928333333333,0.023489654,0.0003711666666666,0.00082684413
2018-04-03 12:12:00,147220952.0,140215170.0,1447880.0,1451304.0,8659,7882.0,0.0251356666666666,0.02418305,0.0004689999999999,0.00062613585
2018-04-03 12:14:00,119492688.0,142511730.0,912264.0,1560346.0,7172,7984.0,0.0203300833333333,0.024578173,0.0002964166666666,0.0006736216
2018-04-03 12:16:00,124816680.0,128958070.0,838248.0,921782.0,7437,7366.0,0.0211059166666666,0.021282362,0.0003036666666666,0.00016952999
2018-04-03 12:18:00,154681056.0,126257070.0,1580408.0,1008208.0,9095,7155.0,0.0263286666666666,0.020863596,0.0005008333333333,0.00023195843
2018-04-03 12:20:00,120493952.0,140008700.0,1192256.0,1735073.0,7112,7781.0,0.0203899166666666,0.02472546,0.0003919166666666,0.00086676935
2018-04-03 12:22:00,94419520.0,126765170.0,615456.0,943987.0,5593,7208.0,0.015867,0.02100724,0.0002050833333333,0.00015820583
2018-04-03 12:24:00,108562288.0,110018220.0,614976.0,629052.0,6345,6306.0,0.0179871666666666,0.017731428,0.00021075,0.0
2018-04-03 12:26:00,101811456.0,110798660.0,722832.0,817058.0,6104,6243.0,0.0170325,0.01820333,0.0002434999999999,0.00019519948
2018-04-03 12:28:00,128470408.0,106750070.0,1005400.0,763576.0,7704,6056.0,0.0217884166666666,0.017502854,0.0003110833333333,0.0001307923
2018-04-03 12:30:00,126767472.0,115700640.0,1106192.0,1133611.0,7524,6495.0,0.0212496666666666,0.019910123,0.0003261666666666,0.00039663725
2018-04-03 12:32:00,108542976.0,121083990.0,881832.0,1152630.0,6582,6791.0,0.018301,0.021082303,0.0002734166666666,0.0004946817
2018-04-03 12:34:00,111522656.0,111642480.0,1054640.0,643755.0,6737,6387.0,0.0188535833333333,0.018382506,0.0003446666666666,0.0
2018-04-03 12:36:00,143672448.0,111296824.0,1259456.0,983028.0,8542,6290.0,0.0241292499999999,0.018519623,0.0004275833333333,0.0002583081
2018-04-03 12:38:00,142576080.0,127244850.0,1465136.0,1589524.0,8452,7047.0,0.0242408333333333,0.022539794,0.000447,0.00078920607
2018-04-03 12:40:00,125006000.0,131475730.0,1306800.0,1521092.0,7435,7327.0,0.0211494999999999,0.023239171,0.0004209166666666,0.0006944834
2018-04-03 12:42:00,125739392.0,125880620.0,1048216.0,1015196.0,7400,7125.0,0.0212375,0.021596564,0.0003591666666666,0.00032715345
